city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Takad Sahel,Takad Sahel,30.25,-9.55,Morocco,MA,MAR,Souss-Massa,,11866.0,1504426241
Oulad Hamdane,Oulad Hamdane,32.4199,-8.664,Morocco,MA,MAR,Marrakech-Safi,,11866.0,1504871479
Jamaat Shaim,Jamaat Shaim,32.35,-8.85,Morocco,MA,MAR,Marrakech-Safi,,11865.0,1504695746
Aj Jourf,Aj Jourf,31.4903,-4.4014,Morocco,MA,MAR,Drâa-Tafilalet,,11865.0,1504982069
Toualet,Toualet,32.7769,-7.6669,Morocco,MA,MAR,Casablanca-Settat,,11822.0,1504141379
Kissane Ltouqi,Kissane Ltouqi,34.6,-5.0833,Morocco,MA,MAR,Fès-Meknès,,11763.0,1504247609
Zaouiet Says,Zaouiet Says,32.7931,-8.6506,Morocco,MA,MAR,Casablanca-Settat,,11730.0,1504180910
Tilmi,Tilmi,31.8189,-5.7718,Morocco,MA,MAR,Drâa-Tafilalet,,11691.0,1504580420
Oued Laou,Oued Laou,35.45,-5.0833,Morocco,MA,MAR,Tanger-Tétouan-Al Hoceïma,,11690.0,1504708598
Teroual,Teroual,34.6886,-5.2409,Morocco,MA,MAR,Tanger-Tétouan-Al Hoceïma,,11673.0,1504418024
Lahfayr,Lahfayr,30.57,-8.4878,Morocco,MA,MAR,Souss-Massa,,11622.0,1504992138
Tamanar,Tamanar,31.0833,-9.6756,Morocco,MA,MAR,Marrakech-Safi,,11617.0,1504600694
Tissaf,Tissaf,33.3259,-3.3202,Morocco,MA,MAR,Fès-Meknès,,11615.0,1504419451
Tilougguit,Tilougguit,32.0333,-6.2,Morocco,MA,MAR,Béni Mellal-Khénifra,,11592.0,1504513715
Douar Oulad Naoual,Douar Oulad Naoual,34.4936,-5.7108,Morocco,MA,MAR,Rabat-Salé-Kénitra,,11578.0,1504215350
Timahdit,Timahdit,33.2369,-5.06,Morocco,MA,MAR,Fès-Meknès,,11571.0,1504460788
Bou Adel,Bou Adel,34.5428,-4.5075,Morocco,MA,MAR,Fès-Meknès,,11564.0,1504793576
Taïneste,Taineste,34.5556,-4.1347,Morocco,MA,MAR,Fès-Meknès,,11530.0,1504640576
Dzouz,Dzouz,31.8697,-7.3097,Morocco,MA,MAR,Marrakech-Safi,,11527.0,1504484074
Dar Ould Zidouh,Dar Ould Zidouh,32.3429,-6.894,Morocco,MA,MAR,Béni Mellal-Khénifra,,11491.0,1504900512
Asjen,Asjen,34.85,-5.6167,Morocco,MA,MAR,Tanger-Tétouan-Al Hoceïma,,11479.0,1504066835
Steha,Steha,35.3646,-4.9306,Morocco,MA,MAR,Tanger-Tétouan-Al Hoceïma,,11452.0,1504350850
Mayate,Mayate,32.2719,-7.525,Morocco,MA,MAR,Marrakech-Safi,,11443.0,1504516626
Tatoufet,Tatoufet,35.0339,-5.7706,Morocco,MA,MAR,Tanger-Tétouan-Al Hoceïma,,11434.0,1504842271
Oulad Friha,Oulad Friha,32.6108,-7.625,Morocco,MA,MAR,Casablanca-Settat,,11410.0,1504629949
Touama,Touama,31.5339,-7.4872,Morocco,MA,MAR,Marrakech-Safi,,11401.0,1504529527
El Menzel,El Menzel,33.8389,-4.5458,Morocco,MA,MAR,Fès-Meknès,,11400.0,1504965368
Douar Trougout,Douar Trougout,35.1797,-3.7714,Morocco,MA,MAR,Oriental,,11348.0,1504618230
Zawiat Moulay Brahim,Zawiat Moulay Brahim,31.2858,-7.9656,Morocco,MA,MAR,Marrakech-Safi,,11331.0,1504818335
Sebt Bni Garfett,Sebt Bni Garfett,35.25,-5.8333,Morocco,MA,MAR,Tanger-Tétouan-Al Hoceïma,,11311.0,1504641834
Jem’at Oulad ’Abbou,Jem'at Oulad 'Abbou,33.1148,-7.9336,Morocco,MA,MAR,Casablanca-Settat,,11299.0,1504650087
Derdara,Derdara,35.1206,-5.3647,Morocco,MA,MAR,Tanger-Tétouan-Al Hoceïma,,11276.0,1504274445
Zawyat Ahançal,Zawyat Ahancal,31.8325,-6.1056,Morocco,MA,MAR,Béni Mellal-Khénifra,,11260.0,1504237708
Douar Oulad Nader,Douar Oulad Nader,32.3514,-6.5107,Morocco,MA,MAR,Béni Mellal-Khénifra,,11256.0,1504911149
Kariat Ben Aouda,Kariat Ben Aouda,34.7667,-5.95,Morocco,MA,MAR,Rabat-Salé-Kénitra,,11238.0,1504991922
Kef el Rhar,Kef el Rhar,34.5075,-4.2628,Morocco,MA,MAR,Fès-Meknès,,11229.0,1504468214
Agdz,Agdz,30.6984,-6.4729,Morocco,MA,MAR,Drâa-Tafilalet,,11189.0,1504481123
Imlil,Imlil,31.7567,-7.0106,Morocco,MA,MAR,Béni Mellal-Khénifra,,11175.0,1504125012
Douar Ain Maatouf,Douar Ain Maatouf,34.4353,-4.5567,Morocco,MA,MAR,Fès-Meknès,,11165.0,1504798283
Msila,Msila,34.4427,-4.1711,Morocco,MA,MAR,Tanger-Tétouan-Al Hoceïma,,11161.0,1504170765
Amdel,Amdel,31.5617,-8.8944,Morocco,MA,MAR,Marrakech-Safi,,11130.0,1504656724
Aït Hani,Ait Hani,31.7786,-5.4555,Morocco,MA,MAR,Drâa-Tafilalet,,11120.0,1504963024
Ain Bida,Ain Bida,33.9856,-4.8931,Morocco,MA,MAR,Fès-Meknès,,11109.0,1504328927
Oulad Cherif,Oulad Cherif,34.2686,-4.1594,Morocco,MA,MAR,Marrakech-Safi,,11088.0,1504980361
Souq Sebt Says,Souq Sebt Says,32.7772,-8.6433,Morocco,MA,MAR,Casablanca-Settat,,11052.0,1504725186
Tarfaya,Tarfaya,27.9133,-12.9317,Morocco,MA,MAR,Laâyoune-Sakia El Hamra,,11030.0,1504687368
Farkhâna,Farkhana,35.2869,-3.0144,Morocco,MA,MAR,Oriental,,10994.0,1504047941
Tamezmout,Tamezmout,30.8075,-6.1142,Morocco,MA,MAR,Drâa-Tafilalet,,10953.0,1504920011
Bni Drar,Bni Drar,34.8281,-1.9936,Morocco,MA,MAR,Oriental,,10934.0,1504593239
Oued Amlil,Oued Amlil,34.1917,-4.2711,Morocco,MA,MAR,Fès-Meknès,,10929.0,1504286809
Tifni,Tifni,31.6281,-6.9444,Morocco,MA,MAR,Béni Mellal-Khénifra,,10906.0,1504629455
Oulad Hammou,Oulad Hammou,33.1156,-7.9333,Morocco,MA,MAR,Casablanca-Settat,,10894.0,1504000988
Tanant,Tanant,31.8667,-6.95,Morocco,MA,MAR,Béni Mellal-Khénifra,,10891.0,1504879588
Douar El Mellaliyine,Douar El Mellaliyine,35.6264,-5.3414,Morocco,MA,MAR,Tanger-Tétouan-Al Hoceïma,,10874.0,1504244223
El Ghourdane,El Ghourdane,32.3205,-8.7637,Morocco,MA,MAR,Marrakech-Safi,,10859.0,1504617504
Laghzawna,Laghzawna,33.1914,-7.6701,Morocco,MA,MAR,Casablanca-Settat,,10854.0,1504002065
Al M’aziz,Al M'aziz,33.7039,-6.34,Morocco,MA,MAR,Rabat-Salé-Kénitra,,10812.0,1504103308
El Arba Des Bir Lenni,El Arba Des Bir Lenni,34.3272,-4.2039,Morocco,MA,MAR,Fès-Meknès,,10801.0,1504816982
Oulad Daoud,Oulad Daoud,34.4303,-4.7728,Morocco,MA,MAR,Fès-Meknès,,10800.0,1504977021
Jaqma,Jaqma,33.2925,-7.4406,Morocco,MA,MAR,Casablanca-Settat,,10733.0,1504002032
Douar Bouchfaa,Douar Bouchfaa,34.1014,-4.2939,Morocco,MA,MAR,Fès-Meknès,,10724.0,1504240184
Lafrayta,Lafrayta,31.932,-7.26,Morocco,MA,MAR,Marrakech-Safi,,10721.0,1504011173
Kenafif,Kenafif,30.4167,-9.0333,Morocco,MA,MAR,Souss-Massa,,10706.0,1504378442
Jafra,Jafra,32.3639,-7.7295,Morocco,MA,MAR,Marrakech-Safi,,10689.0,1504134756
Taouloukoult,Taouloukoult,31.2167,-9.0833,Morocco,MA,MAR,Marrakech-Safi,,10682.0,1504583141
Sebt Ait Ikkou,Sebt Ait Ikkou,33.6686,-6.1372,Morocco,MA,MAR,Rabat-Salé-Kénitra,,10676.0,1504653022
Gammasa,Gammasa,31.4175,-8.4117,Morocco,MA,MAR,Marrakech-Safi,,10675.0,1504310079
Aghbalou n’Kerdous,Aghbalou n'Kerdous,31.6767,-5.2976,Morocco,MA,MAR,Drâa-Tafilalet,,10675.0,1504201813
Tnine Sidi Lyamani,Tnine Sidi Lyamani,35.3693,-5.9724,Morocco,MA,MAR,Tanger-Tétouan-Al Hoceïma,,10616.0,1504028221
Douar Sidi Laaroussi,Douar Sidi Laaroussi,31.845,-9.1586,Morocco,MA,MAR,Marrakech-Safi,,10604.0,1504954714
Ain Legdah,Ain Legdah,34.1646,-4.571,Morocco,MA,MAR,Fès-Meknès,,10598.0,1504429679
Meghraoua,Meghraoua,33.9322,-4.0456,Morocco,MA,MAR,Fès-Meknès,,10580.0,1504785980
Boured,Boured,34.7344,-4.0947,Morocco,MA,MAR,Fès-Meknès,,10516.0,1504251156
Saidia,Saidia,35.085,-2.2392,Morocco,MA,MAR,Oriental,,10514.0,1504105811
Itzer,Itzer,32.8808,-5.0542,Morocco,MA,MAR,Drâa-Tafilalet,,10513.0,1504216124
Oulad Slim,Oulad Slim,32.7775,-7.7725,Morocco,MA,MAR,Casablanca-Settat,,10511.0,1504468299
Laqraqra,Laqraqra,32.4051,-7.1484,Morocco,MA,MAR,Marrakech-Safi,,10493.0,1504203728
Abadou,Abadou,31.605,-7.2996,Morocco,MA,MAR,Marrakech-Safi,,10484.0,1504229584
Figuig,Figuig,32.1167,-1.2269,Morocco,MA,MAR,Oriental,,10449.0,1504487887
Lamsabih,Lamsabih,32.2933,-8.6889,Morocco,MA,MAR,Marrakech-Safi,,10443.0,1504233689
Bouderbala,Bouderbala,33.8123,-5.2871,Morocco,MA,MAR,Fès-Meknès,,10418.0,1504665592
El Khemis des Beni Chegdal,El Khemis des Beni Chegdal,32.4442,-6.955,Morocco,MA,MAR,Béni Mellal-Khénifra,,10413.0,1504549116
Douar Echbanat,Douar Echbanat,34.214,-5.3508,Morocco,MA,MAR,Fès-Meknès,,10371.0,1504340049
Ain Beida,Ain Beida,34.9349,-5.4607,Morocco,MA,MAR,Marrakech-Safi,,10368.0,1504673651
Imi Mokorn,Imi Mokorn,30.1675,-9.2322,Morocco,MA,MAR,Souss-Massa,,10365.0,1504588665
Fezouane,Fezouane,34.9164,-2.2042,Morocco,MA,MAR,Oriental,,10304.0,1504814812
Douar Jwalla,Douar Jwalla,31.8878,-7.4411,Morocco,MA,MAR,Marrakech-Safi,,10283.0,1504383482
Sidi Rahhal,Sidi Rahhal,31.6667,-7.4833,Morocco,MA,MAR,Marrakech-Safi,,10276.0,1504761731
Sidi Lahsene,Sidi Lahsene,34.0999,-2.6219,Morocco,MA,MAR,Oriental,,10260.0,1504193134
Tawnza,Tawnza,32.0944,-6.6025,Morocco,MA,MAR,Béni Mellal-Khénifra,,10254.0,1504959614
Zaggota,Zaggota,34.1667,-5.5333,Morocco,MA,MAR,Rabat-Salé-Kénitra,,10245.0,1504666777
Toundout,Toundout,31.2647,-6.5906,Morocco,MA,MAR,Drâa-Tafilalet,,10177.0,1504645333
Aïn Zohra,Ain Zohra,34.1,-6.35,Morocco,MA,MAR,Rabat-Salé-Kénitra,,10151.0,1504551981
Ben Qarrich,Ben Qarrich,35.5109,-5.4205,Morocco,MA,MAR,Tanger-Tétouan-Al Hoceïma,,10115.0,1504875020
Bou Zemou,Bou Zemou,32.1114,-5.5197,Morocco,MA,MAR,Drâa-Tafilalet,,10100.0,1504737844
Douar Ezzerarda,Douar Ezzerarda,33.9743,-4.3788,Morocco,MA,MAR,Rabat-Salé-Kénitra,,10092.0,1504537386
Sidi Ouassay,Sidi Ouassay,30.05,-9.6833,Morocco,MA,MAR,Souss-Massa,,10050.0,1504252264
Amtar,Amtar,35.2425,-4.7925,Morocco,MA,MAR,Tanger-Tétouan-Al Hoceïma,,10038.0,1504617084
