city,date,temperature_max,temperature_min,precipitation_sum,precipitation_probability_max,wind_speed_max,wind_gusts_max,weather_code,temperature_category,precipitation_category,wind_category,precipitation_risk,wind_risk,temperature_risk,risk_score,risk_category
Ait Melloul,2026-09-22,39.3,23.3,0.0,0,21.3,43.2,3,Très chaud,Aucune,Modéré,0,30,100,36.0,Modéré
Béni Mellal,2026-09-20,35.5,25.5,0.0,3,20.1,46.1,3,Très chaud,Aucune,Modéré,0,30,100,36.0,Modéré
Béni Mellal,2026-09-21,35.1,23.9,0.0,3,18.1,47.2,3,Très chaud,Aucune,Faible,0,0,100,25.0,Modéré
Béni Mellal,2026-09-22,34.3,22.9,0.0,0,15.9,33.5,2,Chaud,Aucune,Faible,0,0,60,15.0,Faible
Bouskoura,2026-09-20,33.5,19.8,0.0,0,14.5,35.6,2,Chaud,Aucune,Faible,0,0,60,15.0,Faible
Bouskoura,2026-09-21,36.8,21.2,0.0,0,16.2,39.2,3,Très chaud,Aucune,Faible,0,0,100,25.0,Modéré
Bouskoura,2026-09-22,33.1,20.0,0.0,0,14.0,35.6,1,Chaud,Aucune,Faible,0,0,60,15.0,Faible
Tiznit,2026-09-20,31.1,19.7,0.0,0,12.2,21.6,45,Chaud,Aucune,Faible,0,0,60,15.0,Faible
Tiznit,2026-09-21,37.0,23.7,0.0,0,15.8,26.6,3,Très chaud,Aucune,Faible,0,0,100,25.0,Modéré
Tiznit,2026-09-22,39.1,25.8,0.0,0,20.7,33.5,3,Très chaud,Aucune,Modéré,0,30,100,36.0,Modéré
Mohammedia,2026-09-20,28.9,19.8,0.0,0,11.4,29.2,2,Chaud,Aucune,Faible,0,0,30,8.0,Faible
Mohammedia,2026-09-21,29.6,20.2,0.0,0,13.4,33.1,45,Chaud,Aucune,Faible,0,0,30,8.0,Faible
Mohammedia,2026-09-22,28.7,19.1,0.0,0,11.0,28.4,1,Chaud,Aucune,Faible,0,0,30,8.0,Faible
Kouribga,2026-09-20,34.8,22.7,0.0,3,21.8,54.4,3,Chaud,Aucune,Modéré,0,30,60,26.0,Modéré
Kouribga,2026-09-21,34.8,22.3,0.0,3,20.9,41.0,2,Chaud,Aucune,Modéré,0,30,60,26.0,Modéré
Kouribga,2026-09-22,34.2,20.9,0.0,0,20.0,40.7,2,Chaud,Aucune,Modéré,0,30,60,26.0,Modéré
Settat,2026-09-20,36.9,20.9,0.1,8,17.7,39.6,3,Très chaud,Faible,Faible,25,0,100,35.0,Modéré
Settat,2026-09-21,38.6,22.0,0.0,0,23.9,50.0,2,Très chaud,Aucune,Modéré,0,30,100,36.0,Modéré
Settat,2026-09-22,36.4,20.9,0.0,0,19.6,40.7,1,Très chaud,Aucune,Faible,0,0,100,25.0,Modéré
Barrechid,2026-09-20,36.5,18.8,0.0,0,20.5,36.4,2,Très chaud,Aucune,Modéré,0,30,100,36.0,Modéré
Barrechid,2026-09-21,39.1,20.9,0.0,0,24.2,43.2,3,Très chaud,Aucune,Modéré,0,30,100,36.0,Modéré
Barrechid,2026-09-22,36.0,18.9,0.0,0,19.4,34.9,1,Très chaud,Aucune,Faible,0,0,100,25.0,Modéré
Ad Dakhla,2026-09-20,21.7,19.7,0.0,0,29.9,37.4,0,Modérée,Aucune,Modéré,0,30,0,10.0,Faible
Ad Dakhla,2026-09-21,22.6,19.9,1.7,19,33.3,38.9,80,Modérée,Faible,Modéré,25,30,0,20.0,Faible
Ad Dakhla,2026-09-22,22.8,20.4,0.9,21,31.8,41.0,53,Modérée,Faible,Modéré,25,30,0,20.0,Faible
Nador,2026-09-20,25.8,23.4,4.4,8,22.3,46.1,80,Chaud,Faible,Modéré,25,30,30,28.0,Modéré
Nador,2026-09-21,25.8,23.1,0.1,3,17.9,38.2,3,Chaud,Faible,Faible,25,0,30,18.0,Faible
Nador,2026-09-22,25.7,20.7,0.0,0,13.1,28.1,2,Chaud,Aucune,Faible,0,0,30,8.0,Faible
Taza,2026-09-20,29.7,19.9,0.0,0,21.5,43.6,3,Chaud,Aucune,Modéré,0,30,30,18.0,Faible
Taza,2026-09-21,29.8,19.9,0.0,0,20.6,42.1,2,Chaud,Aucune,Modéré,0,30,30,18.0,Faible
Taza,2026-09-22,29.8,17.7,0.0,0,16.6,34.9,2,Chaud,Aucune,Faible,0,0,30,8.0,Faible
Inezgane,2026-09-20,26.3,19.5,0.0,0,12.6,35.3,45,Chaud,Aucune,Faible,0,0,30,8.0,Faible
Inezgane,2026-09-21,35.1,21.5,0.0,0,10.1,28.8,3,Très chaud,Aucune,Faible,0,0,100,25.0,Modéré
Inezgane,2026-09-22,37.5,23.1,0.0,0,17.1,47.9,3,Très chaud,Aucune,Faible,0,0,100,25.0,Modéré
Larache,2026-09-20,35.1,23.9,0.0,0,19.0,34.2,1,Très chaud,Aucune,Faible,0,0,100,25.0,Modéré
Larache,2026-09-21,33.3,21.6,0.0,0,16.3,31.3,0,Chaud,Aucune,Faible,0,0,60,15.0,Faible
Larache,2026-09-22,31.3,20.3,0.0,0,16.6,30.6,0,Chaud,Aucune,Faible,0,0,60,15.0,Faible
Al Khmissat,2026-09-20,37.5,20.6,0.0,0,18.6,38.2,2,Très chaud,Aucune,Faible,0,0,100,25.0,Modéré
Al Khmissat,2026-09-21,36.7,21.8,0.0,0,15.8,30.6,2,Très chaud,Aucune,Faible,0,0,100,25.0,Modéré
Al Khmissat,2026-09-22,34.3,18.4,0.0,0,13.3,28.1,0,Chaud,Aucune,Faible,0,0,60,15.0,Faible
Guelmim,2026-09-20,37.6,18.2,0.0,0,20.5,38.2,3,Très chaud,Aucune,Modéré,0,30,100,36.0,Modéré
Guelmim,2026-09-21,39.8,23.1,0.0,2,19.5,34.9,3,Très chaud,Aucune,Faible,0,0,100,25.0,Modéré
Guelmim,2026-09-22,39.3,26.6,0.0,2,24.7,39.2,2,Très chaud,Aucune,Modéré,0,30,100,36.0,Modéré
Ksar El Kebir,2026-09-20,37.7,23.6,0.0,0,16.6,32.8,1,Très chaud,Aucune,Faible,0,0,100,25.0,Modéré
Ksar El Kebir,2026-09-21,36.9,21.9,0.0,0,15.6,29.9,0,Très chaud,Aucune,Faible,0,0,100,25.0,Modéré
Ksar El Kebir,2026-09-22,35.5,20.7,0.0,0,14.9,28.1,1,Très chaud,Aucune,Faible,0,0,100,25.0,Modéré
Khénifra,2026-09-20,34.2,18.6,0.1,0,15.9,29.9,3,Chaud,Faible,Faible,25,0,60,25.0,Modéré
Khénifra,2026-09-21,34.4,20.1,0.0,0,21.0,41.4,3,Chaud,Aucune,Modéré,0,30,60,26.0,Modéré
Khénifra,2026-09-22,32.8,16.4,0.0,0,17.9,33.8,2,Chaud,Aucune,Faible,0,0,60,15.0,Faible
Skhirate,2026-09-20,28.4,19.4,0.0,0,11.0,25.6,2,Chaud,Aucune,Faible,0,0,30,8.0,Faible
Skhirate,2026-09-21,29.2,20.1,0.0,0,12.6,29.2,2,Chaud,Aucune,Faible,0,0,30,8.0,Faible
Skhirate,2026-09-22,27.5,19.2,0.0,0,11.0,25.6,45,Chaud,Aucune,Faible,0,0,30,8.0,Faible
Beni Yakhlef,2026-09-20,32.8,19.0,0.0,0,16.4,31.0,2,Chaud,Aucune,Faible,0,0,60,15.0,Faible
Beni Yakhlef,2026-09-21,34.4,20.0,0.0,0,18.4,33.8,2,Chaud,Aucune,Faible,0,0,60,15.0,Faible
Beni Yakhlef,2026-09-22,32.0,18.4,0.0,0,15.6,29.2,1,Chaud,Aucune,Faible,0,0,60,15.0,Faible
Sidi Yahya Zaer,2026-09-20,35.6,19.5,0.0,0,20.8,41.8,2,Très chaud,Aucune,Modéré,0,30,100,36.0,Modéré
Sidi Yahya Zaer,2026-09-21,36.3,20.9,0.0,0,18.6,37.4,2,Très chaud,Aucune,Faible,0,0,100,25.0,Modéré
Sidi Yahya Zaer,2026-09-22,33.5,20.2,0.0,0,16.5,33.5,0,Chaud,Aucune,Faible,0,0,60,15.0,Faible
Ben Guerir,2026-09-20,36.9,23.8,0.0,0,20.4,42.5,3,Très chaud,Aucune,Modéré,0,30,100,36.0,Modéré
Ben Guerir,2026-09-21,37.7,24.8,0.0,0,25.5,50.4,3,Très chaud,Aucune,Modéré,0,30,100,36.0,Modéré
Ben Guerir,2026-09-22,36.2,23.4,0.0,0,14.7,29.9,1,Très chaud,Aucune,Faible,0,0,100,25.0,Modéré
Ait Ali,2026-09-20,28.0,20.2,0.0,0,19.1,31.7,2,Chaud,Aucune,Faible,0,0,30,8.0,Faible
Ait Ali,2026-09-21,40.4,22.4,0.0,0,18.5,32.0,3,Très chaud,Aucune,Faible,0,0,100,25.0,Modéré
Ait Ali,2026-09-22,39.6,24.2,0.0,0,25.3,47.2,3,Très chaud,Aucune,Modéré,0,30,100,36.0,Modéré
My Drarga,2026-09-20,28.6,20.8,0.0,0,13.6,29.5,45,Chaud,Aucune,Faible,0,0,30,8.0,Faible
My Drarga,2026-09-21,38.1,22.3,0.0,0,11.0,28.4,3,Très chaud,Aucune,Faible,0,0,100,25.0,Modéré
My Drarga,2026-09-22,38.6,24.1,0.0,0,22.9,47.9,3,Très chaud,Aucune,Modéré,0,30,100,36.0,Modéré
Lqoliaa,2026-09-20,29.1,20.0,0.0,0,19.8,42.5,45,Chaud,Aucune,Faible,0,0,30,8.0,Faible
Lqoliaa,2026-09-21,40.2,22.1,0.0,0,14.7,32.4,3,Très chaud,Aucune,Faible,0,0,100,25.0,Modéré
Lqoliaa,2026-09-22,39.5,23.0,0.0,0,21.2,49.3,3,Très chaud,Aucune,Modéré,0,30,100,36.0,Modéré
El Kelaa des Srarhna,2026-09-20,37.3,24.4,0.0,8,20.7,35.6,3,Très chaud,Aucune,Modéré,0,30,100,36.0,Modéré
El Kelaa des Srarhna,2026-09-21,37.5,23.2,0.0,3,15.1,28.4,3,Très chaud,Aucune,Faible,0,0,100,25.0,Modéré
El Kelaa des Srarhna,2026-09-22,36.5,21.9,0.0,0,13.7,24.1,2,Très chaud,Aucune,Faible,0,0,100,25.0,Modéré
Moulay Abdallah,2026-09-20,28.2,20.8,0.0,0,13.4,20.9,45,Chaud,Aucune,Faible,0,0,30,8.0,Faible
Moulay Abdallah,2026-09-21,30.8,22.0,0.0,0,16.2,25.6,3,Chaud,Aucune,Faible,0,0,60,15.0,Faible
Moulay Abdallah,2026-09-22,28.6,20.4,0.0,0,16.3,25.6,45,Chaud,Aucune,Faible,0,0,30,8.0,Faible
Tiflet,2026-09-20,37.2,20.7,0.0,0,18.1,37.4,1,Très chaud,Aucune,Faible,0,0,100,25.0,Modéré
Tiflet,2026-09-21,36.3,21.7,0.0,0,15.6,31.7,3,Très chaud,Aucune,Faible,0,0,100,25.0,Modéré
Tiflet,2026-09-22,34.0,20.5,0.0,0,13.6,28.1,0,Chaud,Aucune,Faible,0,0,60,15.0,Faible
Oulad Teïma,2026-09-20,34.6,22.1,0.0,0,23.4,43.2,2,Chaud,Aucune,Modéré,0,30,60,26.0,Modéré
Oulad Teïma,2026-09-21,40.9,22.8,0.0,0,21.7,40.0,3,Très chaud,Aucune,Modéré,0,30,100,36.0,Modéré
Oulad Teïma,2026-09-22,40.6,22.7,0.0,0,26.4,49.7,3,Très chaud,Aucune,Modéré,0,30,100,36.0,Modéré
Berkane,2026-09-20,27.7,20.2,0.0,0,17.4,36.0,45,Chaud,Aucune,Faible,0,0,30,8.0,Faible
Berkane,2026-09-21,26.4,19.0,0.0,0,17.9,36.7,45,Chaud,Aucune,Faible,0,0,30,8.0,Faible
Berkane,2026-09-22,26.8,16.7,0.0,0,17.4,34.9,3,Chaud,Aucune,Faible,0,0,30,8.0,Faible
Ain El Aouda,2026-09-20,35.2,18.3,0.0,0,18.5,36.4,1,Très chaud,Aucune,Faible,0,0,100,25.0,Modéré
Ain El Aouda,2026-09-21,36.0,19.7,0.0,0,16.5,32.4,2,Très chaud,Aucune,Faible,0,0,100,25.0,Modéré
Ain El Aouda,2026-09-22,33.2,18.8,0.0,0,14.2,28.1,1,Chaud,Aucune,Faible,0,0,60,15.0,Faible
Errachidia,2026-09-20,29.1,19.2,0.0,20,12.2,23.0,3,Chaud,Aucune,Faible,0,0,30,8.0,Faible
Errachidia,2026-09-21,30.4,20.0,0.2,18,13.2,33.1,80,Chaud,Faible,Faible,25,0,60,25.0,Modéré
Errachidia,2026-09-22,30.1,19.2,0.0,0,11.1,23.8,2,Chaud,Aucune,Faible,0,0,60,15.0,Faible
Al Fqih Ben Çalah,2026-09-20,38.1,23.0,0.0,5,18.9,41.0,2,Très chaud,Aucune,Faible,0,0,100,25.0,Modéré
Al Fqih Ben Çalah,2026-09-21,37.8,20.7,0.0,0,14.4,28.4,2,Très chaud,Aucune,Faible,0,0,100,25.0,Modéré
Al Fqih Ben Çalah,2026-09-22,36.9,19.8,0.0,0,10.7,21.6,2,Très chaud,Aucune,Faible,0,0,100,25.0,Modéré
Ad Darwa,2026-09-20,34.4,19.6,0.0,0,15.7,31.0,2,Chaud,Aucune,Faible,0,0,60,15.0,Faible
Ad Darwa,2026-09-21,37.1,21.0,0.0,0,18.0,35.3,2,Très chaud,Aucune,Faible,0,0,100,25.0,Modéré
Ad Darwa,2026-09-22,34.1,19.6,0.0,0,15.7,30.6,1,Chaud,Aucune,Faible,0,0,60,15.0,Faible
Martil,2026-09-20,24.6,22.9,2.8,45,26.2,56.5,80,Modérée,Faible,Modéré,25,30,0,20.0,Faible
Martil,2026-09-21,25.4,22.1,0.2,3,21.3,45.0,3,Chaud,Faible,Modéré,25,30,30,28.0,Modéré
Martil,2026-09-22,25.0,21.3,0.0,0,18.8,40.3,2,Chaud,Aucune,Faible,0,0,0,0.0,Faible
Sidi Slimane,2026-09-20,39.3,23.4,0.0,0,17.6,37.1,1,Très chaud,Aucune,Faible,0,0,100,25.0,Modéré
Sidi Slimane,2026-09-21,38.3,22.2,0.0,0,14.3,31.0,2,Très chaud,Aucune,Faible,0,0,100,25.0,Modéré
Sidi Slimane,2026-09-22,36.3,19.6,0.0,0,13.6,31.7,0,Très chaud,Aucune,Faible,0,0,100,25.0,Modéré
Oued Zem,2026-09-20,35.2,22.5,0.0,0,23.0,47.9,3,Très chaud,Aucune,Modéré,0,30,100,36.0,Modéré
Oued Zem,2026-09-21,34.6,22.7,0.0,3,21.6,43.2,3,Chaud,Aucune,Modéré,0,30,60,26.0,Modéré
Oued Zem,2026-09-22,34.0,21.0,0.0,0,16.6,34.2,2,Chaud,Aucune,Faible,0,0,60,15.0,Faible
Sefrou,2026-09-20,31.8,20.9,0.0,0,18.4,40.7,2,Chaud,Aucune,Faible,0,0,60,15.0,Faible
Sefrou,2026-09-21,32.0,21.9,0.0,0,18.3,39.2,2,Chaud,Aucune,Faible,0,0,60,15.0,Faible
Sefrou,2026-09-22,30.3,19.8,0.0,0,16.9,36.7,0,Chaud,Aucune,Faible,0,0,60,15.0,Faible
Taroudannt,2026-09-20,39.6,23.4,0.0,3,23.6,50.8,3,Très chaud,Aucune,Modéré,0,30,100,36.0,Modéré
Taroudannt,2026-09-21,40.2,24.4,0.0,0,22.8,43.9,3,Très chaud,Aucune,Modéré,0,30,100,36.0,Modéré
Taroudannt,2026-09-22,40.0,23.8,0.0,0,24.3,46.4,1,Très chaud,Aucune,Modéré,0,30,100,36.0,Modéré
Essaouira,2026-09-20,25.5,19.0,0.0,0,11.9,23.4,2,Chaud,Aucune,Faible,0,0,30,8.0,Faible
Essaouira,2026-09-21,27.4,19.6,0.0,0,7.8,22.3,3,Chaud,Aucune,Faible,0,0,30,8.0,Faible
Essaouira,2026-09-22,29.4,20.5,0.0,0,14.0,27.0,2,Chaud,Aucune,Faible,0,0,30,8.0,Faible
Azrou,2026-09-20,28.6,18.0,0.0,33,15.0,41.0,3,Chaud,Aucune,Faible,0,0,30,8.0,Faible
Azrou,2026-09-21,28.5,17.6,0.0,0,20.7,45.7,3,Chaud,Aucune,Modéré,0,30,30,18.0,Faible
Azrou,2026-09-22,27.4,15.4,0.0,0,18.1,42.8,0,Chaud,Aucune,Faible,0,0,30,8.0,Faible
Guercif,2026-09-20,31.5,20.9,0.0,0,27.7,52.9,2,Chaud,Aucune,Modéré,0,30,60,26.0,Modéré
Guercif,2026-09-21,31.0,21.0,0.0,0,27.1,49.3,3,Chaud,Aucune,Modéré,0,30,60,26.0,Modéré
Guercif,2026-09-22,30.8,16.9,0.0,0,22.0,40.7,1,Chaud,Aucune,Modéré,0,30,60,26.0,Modéré
Warzat,2026-09-20,29.1,18.9,0.3,15,13.4,32.0,61,Chaud,Faible,Faible,25,0,30,18.0,Faible
Warzat,2026-09-21,29.7,18.5,1.2,25,16.9,30.6,80,Chaud,Faible,Faible,25,0,30,18.0,Faible
Warzat,2026-09-22,32.0,16.8,0.0,0,27.9,47.2,1,Chaud,Aucune,Modéré,0,30,60,26.0,Modéré
Fnidq,2026-09-20,24.8,22.6,2.5,45,26.0,49.3,80,Modérée,Faible,Modéré,25,30,0,20.0,Faible
Fnidq,2026-09-21,25.6,21.8,0.0,3,22.8,44.3,3,Chaud,Aucune,Modéré,0,30,30,18.0,Faible
Fnidq,2026-09-22,25.0,21.3,0.0,0,18.6,36.7,2,Chaud,Aucune,Faible,0,0,0,0.0,Faible
Tan-Tan,2026-09-20,32.3,19.1,0.0,0,18.4,34.9,3,Chaud,Aucune,Faible,0,0,60,15.0,Faible
Tan-Tan,2026-09-21,38.5,19.2,0.0,0,26.5,46.8,3,Très chaud,Aucune,Modéré,0,30,100,36.0,Modéré
Tan-Tan,2026-09-22,37.9,20.8,0.0,0,26.2,47.2,3,Très chaud,Aucune,Modéré,0,30,100,36.0,Modéré
Sidi Qacem,2026-09-20,38.5,25.0,0.0,0,14.1,39.2,1,Très chaud,Aucune,Faible,0,0,100,25.0,Modéré
Sidi Qacem,2026-09-21,37.8,23.8,0.0,0,12.5,27.7,3,Très chaud,Aucune,Faible,0,0,100,25.0,Modéré
Sidi Qacem,2026-09-22,35.9,21.5,0.0,0,10.2,22.7,0,Très chaud,Aucune,Faible,0,0,100,25.0,Modéré
M’diq,2026-09-20,24.5,22.7,2.8,0,26.2,56.5,80,Modérée,Faible,Modéré,25,30,0,20.0,Faible
M’diq,2026-09-21,25.3,22.0,0.2,0,21.3,45.0,3,Chaud,Faible,Modéré,25,30,30,28.0,Modéré
M’diq,2026-09-22,24.8,21.1,0.0,0,18.8,40.3,2,Modérée,Aucune,Faible,0,0,0,0.0,Faible
Youssoufia,2026-09-20,37.2,22.2,0.0,3,19.9,44.6,2,Très chaud,Aucune,Faible,0,0,100,25.0,Modéré
Youssoufia,2026-09-21,38.4,23.4,0.0,0,21.3,43.2,3,Très chaud,Aucune,Modéré,0,30,100,36.0,Modéré
Youssoufia,2026-09-22,37.0,20.3,0.0,0,16.0,32.8,0,Très chaud,Aucune,Faible,0,0,100,25.0,Modéré
Midalt,2026-09-20,28.0,13.9,0.0,18,31.3,55.8,2,Chaud,Aucune,Modéré,0,30,30,18.0,Faible
Midalt,2026-09-21,28.8,14.8,0.0,0,24.7,44.3,2,Chaud,Aucune,Modéré,0,30,30,18.0,Faible
Midalt,2026-09-22,27.8,13.9,0.0,0,21.7,38.5,2,Chaud,Aucune,Modéré,0,30,30,18.0,Faible
Aïn Harrouda,2026-09-20,31.0,19.8,0.0,0,11.4,31.7,2,Chaud,Aucune,Faible,0,0,60,15.0,Faible
Aïn Harrouda,2026-09-21,32.0,20.4,0.0,0,13.3,35.3,2,Chaud,Aucune,Faible,0,0,60,15.0,Faible
Aïn Harrouda,2026-09-22,30.3,19.2,0.0,0,11.3,30.6,1,Chaud,Aucune,Faible,0,0,60,15.0,Faible
Souq Sebt Oulad Nemma,2026-09-20,38.4,22.9,0.0,3,17.4,30.6,3,Très chaud,Aucune,Faible,0,0,100,25.0,Modéré
Souq Sebt Oulad Nemma,2026-09-21,38.2,21.2,0.0,5,11.2,21.2,2,Très chaud,Aucune,Faible,0,0,100,25.0,Modéré
Souq Sebt Oulad Nemma,2026-09-22,37.3,21.8,0.0,0,10.9,20.2,2,Très chaud,Aucune,Faible,0,0,100,25.0,Modéré
Mehdya,2026-09-20,34.0,19.8,0.0,0,12.2,28.1,2,Chaud,Aucune,Faible,0,0,60,15.0,Faible
Mehdya,2026-09-21,32.6,19.9,0.0,0,10.8,25.6,2,Chaud,Aucune,Faible,0,0,60,15.0,Faible
Mehdya,2026-09-22,30.2,19.6,0.0,0,10.2,24.5,3,Chaud,Aucune,Faible,0,0,60,15.0,Faible
Ouezzane,2026-09-20,36.5,21.0,0.0,0,16.3,31.3,0,Très chaud,Aucune,Faible,0,0,100,25.0,Modéré
Ouezzane,2026-09-21,36.1,20.3,0.0,0,11.2,22.3,1,Très chaud,Aucune,Faible,0,0,100,25.0,Modéré
Ouezzane,2026-09-22,34.8,18.9,0.0,0,9.9,19.8,0,Chaud,Aucune,Faible,0,0,60,15.0,Faible
Semara,2026-09-20,36.6,19.1,0.0,0,19.5,28.8,3,Très chaud,Aucune,Faible,0,0,100,25.0,Modéré
