city,date,temperature_max,temperature_min,precipitation_sum,precipitation_probability_max,wind_speed_max,wind_gusts_max,weather_code,temperature_category,precipitation_category,wind_category,precipitation_risk,wind_risk,temperature_risk,risk_score,risk_category
Casablanca,2026-09-20,29.8,20.5,0.0,0,10.2,30.2,2,Chaud,Aucune,Faible,0,0,30,8.0,Faible
Casablanca,2026-09-21,31.3,21.3,0.0,0,11.9,33.8,2,Chaud,Aucune,Faible,0,0,60,15.0,Faible
Casablanca,2026-09-22,29.3,20.3,0.0,0,10.3,29.5,1,Chaud,Aucune,Faible,0,0,30,8.0,Faible
Tangier,2026-09-20,28.1,23.7,0.0,0,31.7,75.2,2,Chaud,Aucune,Modéré,0,30,30,18.0,Faible
Tangier,2026-09-21,28.9,23.1,0.0,0,27.0,63.0,3,Chaud,Aucune,Modéré,0,30,30,18.0,Faible
Tangier,2026-09-22,29.4,21.5,0.0,0,23.5,54.7,2,Chaud,Aucune,Modéré,0,30,30,18.0,Faible
Fès,2026-09-20,35.6,21.9,0.0,0,14.3,37.4,0,Très chaud,Aucune,Faible,0,0,100,25.0,Modéré
Fès,2026-09-21,35.5,22.1,0.0,0,10.6,28.8,2,Très chaud,Aucune,Faible,0,0,100,25.0,Modéré
Fès,2026-09-22,34.1,20.9,0.0,0,7.9,22.0,0,Chaud,Aucune,Faible,0,0,60,15.0,Faible
Marrakech,2026-09-20,37.1,23.6,0.0,18,10.7,34.2,3,Très chaud,Aucune,Faible,0,0,100,25.0,Modéré
Marrakech,2026-09-21,37.7,24.1,0.0,3,16.4,43.6,3,Très chaud,Aucune,Faible,0,0,100,25.0,Modéré
Marrakech,2026-09-22,36.8,20.1,0.0,0,11.1,31.3,2,Très chaud,Aucune,Faible,0,0,100,25.0,Modéré
Sale,2026-09-20,31.0,20.0,0.0,0,10.7,28.4,2,Chaud,Aucune,Faible,0,0,60,15.0,Faible
Sale,2026-09-21,31.8,20.3,0.0,0,10.8,29.5,2,Chaud,Aucune,Faible,0,0,60,15.0,Faible
Sale,2026-09-22,29.8,20.0,0.0,0,9.7,25.9,2,Chaud,Aucune,Faible,0,0,30,8.0,Faible
Meknès,2026-09-20,35.9,20.5,0.0,0,15.4,40.3,2,Très chaud,Aucune,Faible,0,0,100,25.0,Modéré
Meknès,2026-09-21,35.1,20.8,0.0,0,15.5,39.2,2,Très chaud,Aucune,Faible,0,0,100,25.0,Modéré
Meknès,2026-09-22,33.1,18.4,0.0,0,12.8,34.6,0,Chaud,Aucune,Faible,0,0,60,15.0,Faible
Rabat,2026-09-20,31.0,20.0,0.0,0,10.7,28.4,2,Chaud,Aucune,Faible,0,0,60,15.0,Faible
Rabat,2026-09-21,31.8,20.3,0.0,0,10.8,29.5,2,Chaud,Aucune,Faible,0,0,60,15.0,Faible
Rabat,2026-09-22,29.8,20.0,0.0,0,9.7,25.9,2,Chaud,Aucune,Faible,0,0,30,8.0,Faible
Agadir,2026-09-20,29.9,22.4,0.0,0,10.1,31.7,45,Chaud,Aucune,Faible,0,0,30,8.0,Faible
Agadir,2026-09-21,35.4,22.9,0.0,0,9.4,27.7,3,Très chaud,Aucune,Faible,0,0,100,25.0,Modéré
Agadir,2026-09-22,37.8,25.8,0.0,0,16.6,47.9,3,Très chaud,Aucune,Faible,0,0,100,25.0,Modéré
Kenitra,2026-09-20,35.8,18.6,0.0,0,13.5,33.8,45,Très chaud,Aucune,Faible,0,0,100,25.0,Modéré
Kenitra,2026-09-21,34.1,19.9,0.0,0,11.4,29.2,2,Chaud,Aucune,Faible,0,0,60,15.0,Faible
Kenitra,2026-09-22,31.9,19.4,0.0,0,10.8,27.4,3,Chaud,Aucune,Faible,0,0,60,15.0,Faible
Oujda-Angad,2026-09-20,29.5,17.7,0.1,20,17.8,36.7,80,Chaud,Faible,Faible,25,0,30,18.0,Faible
Oujda-Angad,2026-09-21,28.9,18.3,0.0,0,20.6,43.2,45,Chaud,Aucune,Modéré,0,30,30,18.0,Faible
Oujda-Angad,2026-09-22,29.2,13.8,0.0,0,20.5,40.7,2,Chaud,Aucune,Modéré,0,30,30,18.0,Faible
Tétouan,2026-09-20,26.1,22.9,0.1,0,31.2,71.3,3,Chaud,Faible,Modéré,25,30,30,28.0,Modéré
Tétouan,2026-09-21,26.7,22.4,0.0,0,23.2,52.2,2,Chaud,Aucune,Modéré,0,30,30,18.0,Faible
Tétouan,2026-09-22,26.9,21.0,0.0,0,17.2,42.8,1,Chaud,Aucune,Faible,0,0,30,8.0,Faible
Safi,2026-09-20,26.7,21.3,0.0,0,8.6,18.4,3,Chaud,Aucune,Faible,0,0,30,8.0,Faible
Safi,2026-09-21,28.0,20.1,0.0,0,7.8,16.9,3,Chaud,Aucune,Faible,0,0,30,8.0,Faible
Safi,2026-09-22,30.2,19.0,0.0,0,13.0,25.2,2,Chaud,Aucune,Faible,0,0,60,15.0,Faible
Taourirt,2026-09-20,30.8,20.7,0.0,0,30.3,49.7,3,Chaud,Aucune,Modéré,0,30,60,26.0,Modéré
Taourirt,2026-09-21,30.2,20.4,0.0,0,28.1,46.4,3,Chaud,Aucune,Modéré,0,30,60,26.0,Modéré
Taourirt,2026-09-22,30.2,17.4,0.0,0,23.6,37.8,45,Chaud,Aucune,Modéré,0,30,60,26.0,Modéré
Temara,2026-09-20,31.3,19.5,0.0,0,10.5,29.2,2,Chaud,Aucune,Faible,0,0,60,15.0,Faible
Temara,2026-09-21,32.1,20.3,0.0,0,11.4,31.0,2,Chaud,Aucune,Faible,0,0,60,15.0,Faible
Temara,2026-09-22,29.8,19.9,0.0,0,9.8,27.4,1,Chaud,Aucune,Faible,0,0,30,8.0,Faible
Laâyoune,2026-09-20,33.5,19.0,0.0,0,19.9,40.0,1,Chaud,Aucune,Faible,0,0,60,15.0,Faible
Laâyoune,2026-09-21,39.8,21.1,0.0,2,24.5,47.9,3,Très chaud,Aucune,Modéré,0,30,100,36.0,Modéré
Laâyoune,2026-09-22,38.8,21.5,0.0,1,26.4,51.1,3,Très chaud,Aucune,Modéré,0,30,100,36.0,Modéré
El Jadid,2026-09-20,27.7,20.7,0.0,0,12.4,22.7,45,Chaud,Aucune,Faible,0,0,30,8.0,Faible
El Jadid,2026-09-21,29.2,21.7,0.0,0,16.1,31.0,3,Chaud,Aucune,Faible,0,0,30,8.0,Faible
El Jadid,2026-09-22,27.4,20.2,0.0,0,14.2,25.9,45,Chaud,Aucune,Faible,0,0,30,8.0,Faible
Ait Melloul,2026-09-20,27.5,20.3,0.0,0,17.7,36.0,2,Chaud,Aucune,Faible,0,0,30,8.0,Faible
Ait Melloul,2026-09-21,38.7,22.2,0.0,0,12.6,28.1,3,Très chaud,Aucune,Faible,0,0,100,25.0,Modéré
