city,date,temperature_max,temperature_min,precipitation_sum,precipitation_probability_max,wind_speed_max,wind_gusts_max,weather_code
Larache,2026-09-21,33.4,22.1,0.0,0,17.1,31.7,0
Larache,2026-09-22,31.8,19.9,0.0,0,17.2,31.7,3
Al Khmissat,2026-09-20,37.8,20.6,0.0,0,18.4,38.2,3
Al Khmissat,2026-09-21,36.4,22.1,0.0,0,17.5,36.7,2
Al Khmissat,2026-09-22,35.0,18.8,0.0,0,14.0,28.4,2
Guelmim,2026-09-20,36.4,18.2,0.0,0,22.3,38.5,3
Guelmim,2026-09-21,39.9,22.2,0.0,2,18.6,33.5,3
Guelmim,2026-09-22,39.5,26.3,0.0,2,22.8,38.5,3
Ksar El Kebir,2026-09-20,37.9,23.6,0.0,0,12.7,27.0,1
Ksar El Kebir,2026-09-21,36.8,22.0,0.0,0,15.0,28.1,1
Ksar El Kebir,2026-09-22,35.8,20.1,0.0,0,13.7,25.6,3
Khénifra,2026-09-20,34.2,18.6,0.0,0,14.2,26.3,2
Khénifra,2026-09-21,34.0,19.3,0.0,0,23.5,46.4,3
Khénifra,2026-09-22,32.9,17.0,0.0,0,17.4,33.1,2
Skhirate,2026-09-20,28.8,19.4,0.0,0,11.6,28.4,1
Skhirate,2026-09-21,29.1,20.4,0.0,0,12.1,28.1,2
Skhirate,2026-09-22,28.5,19.0,0.0,0,10.9,25.6,45
Beni Yakhlef,2026-09-20,33.3,19.0,0.0,0,16.3,31.3,2
Beni Yakhlef,2026-09-21,34.2,20.6,0.0,0,18.4,34.9,2
Beni Yakhlef,2026-09-22,32.6,18.0,0.0,0,14.9,28.1,0
Sidi Yahya Zaer,2026-09-20,36.4,19.5,0.0,0,20.1,42.5,2
Sidi Yahya Zaer,2026-09-21,36.2,21.5,0.0,0,18.9,38.5,2
Sidi Yahya Zaer,2026-09-22,34.4,18.9,0.0,0,17.6,35.6,0
Ben Guerir,2026-09-20,37.1,23.8,0.0,0,20.3,42.1,3
Ben Guerir,2026-09-21,37.5,23.6,0.1,0,19.9,38.9,3
Ben Guerir,2026-09-22,36.3,23.1,0.0,0,14.4,29.2,0
Ait Ali,2026-09-20,28.0,20.2,0.0,0,19.5,32.4,2
Ait Ali,2026-09-21,40.0,22.4,0.0,0,15.8,26.6,3
Ait Ali,2026-09-22,38.8,24.1,0.0,0,25.7,43.6,3
My Drarga,2026-09-20,28.2,20.8,0.0,0,14.1,29.9,45
My Drarga,2026-09-21,37.6,22.3,0.0,0,11.4,26.3,3
My Drarga,2026-09-22,37.6,24.1,0.0,0,20.5,45.4,1
Lqoliaa,2026-09-20,28.6,20.0,0.0,0,20.3,43.2,45
Lqoliaa,2026-09-21,40.0,22.1,0.0,0,16.6,34.2,3
Lqoliaa,2026-09-22,39.1,22.8,0.0,0,22.9,49.3,2
El Kelaa des Srarhna,2026-09-20,37.6,24.4,0.0,8,18.9,33.5,3
El Kelaa des Srarhna,2026-09-21,37.7,23.5,0.0,3,21.5,38.5,3
El Kelaa des Srarhna,2026-09-22,36.7,21.2,0.0,0,14.9,27.0,1
Moulay Abdallah,2026-09-20,28.3,20.8,0.0,0,13.1,20.9,45
Moulay Abdallah,2026-09-21,29.5,21.5,0.0,0,14.2,22.0,45
Moulay Abdallah,2026-09-22,29.1,19.9,0.0,0,16.8,26.6,45
Tiflet,2026-09-20,37.7,20.7,0.0,0,18.3,38.9,1
Tiflet,2026-09-21,36.1,21.9,0.0,0,17.0,34.9,2
Tiflet,2026-09-22,34.8,21.2,0.0,0,15.1,30.6,2
Oulad Teïma,2026-09-20,34.2,22.1,0.0,0,26.3,47.5,2
Oulad Teïma,2026-09-21,40.6,22.3,0.0,0,20.3,37.4,3
Oulad Teïma,2026-09-22,40.7,22.6,0.0,0,29.8,55.4,3
Berkane,2026-09-20,27.2,20.2,0.0,0,17.1,36.0,45
Berkane,2026-09-21,26.5,19.0,0.0,0,17.6,36.0,45
Berkane,2026-09-22,26.3,16.6,0.0,0,17.4,34.9,2
Ain El Aouda,2026-09-20,36.0,18.3,0.0,0,17.8,37.8,1
